node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
148 149 15 3.2474 2.1017 -8.2059 2.9727 1.9977 -9.1608 0.0555 0.9991 238.0000 23.8000 0.0000 16.7359 2.0000 
149 150 15 2.9727 1.9977 -9.1608 2.8400 1.9395 -9.5906 0.0555 0.4536 238.0000 23.8000 0.0000 18.0000 2.0000 
11 151 16 4.4895 2.8736 -4.5354 4.6369 2.2207 -5.2783 0.0486 0.9999 238.0000 23.8000 0.0000 9.0785 2.0000 
151 152 16 4.6369 2.2207 -5.2783 4.7480 1.5695 -6.0283 0.0486 0.9995 238.0000 23.8000 0.0000 10.6194 2.0000 
152 153 16 4.7480 1.5695 -6.0283 4.8585 0.9366 -6.7945 0.0486 0.9999 238.0000 23.8000 0.0000 12.3384 2.0000 
153 154 16 4.8585 0.9366 -6.7945 4.9871 0.3138 -7.5655 0.0486 0.9994 238.0000 23.8000 0.0000 14.2896 2.0000 
154 155 16 4.9871 0.3138 -7.5655 5.1218 -0.3131 -8.3323 0.0486 0.9995 238.0000 23.8000 0.0000 16.5243 2.0000 
155 156 16 5.1218 -0.3131 -8.3323 5.2003 -0.6405 -8.8070 0.0486 0.5821 238.0000 23.8000 0.0000 18.0000 2.0000 
12 157 17 5.2179 3.3218 -4.9380 4.4832 4.0071 -4.5469 0.0471 1.0781 238.0000 23.8000 0.0000 9.2785 2.0000 
157 158 17 4.4832 4.0071 -4.5469 4.0987 4.9190 -4.4119 0.0471 0.9989 238.0000 23.8000 0.0000 10.8771 2.0000 
158 159 17 4.0987 4.9190 -4.4119 3.7356 5.8397 -4.2790 0.0471 0.9986 238.0000 23.8000 0.0000 12.7187 2.0000 
159 160 17 3.7356 5.8397 -4.2790 3.3199 6.7414 -4.1720 0.0471 0.9986 238.0000 23.8000 0.0000 14.8896 2.0000 
160 161 17 3.3199 6.7414 -4.1720 2.9646 7.6701 -4.0723 0.0471 0.9994 238.0000 23.8000 0.0000 17.5376 2.0000 
